Keys,Value
Zone 2,De Neve Acacia
Zone 2,De Neve Birch
Zone 2,De Neve Cedar
Zone 2,De Neve Dogwood
Zone 2,De Neve Evergreen
Zone 2,De Neve Fir
Zone 2,De Neve Towers
Zone 2,De Neve Holly
Zone 2,De Neve Gardenia
Zone 2,De Neve Court
Zone 2,Tom Bradley
Zone 2,Dykstra
Zone 2,De Neve Commons
Zone 2,De Neve ABCDEF
Zone 2,Courtside
Zone 2,Canyon Point
Zone 2,Delta Terrace
Zone 2,Sproul Hall
Zone 2,Sunset Village
Zone 2,Sproul Cove Landing
Zone 2,Sproul Court
Zone 2,Sproul Landing
Zone 2,Sproul Cove
Zone 2,Bruin Fit
Zone 2,Carnesale Commons
Zone 2,Covel Commons
Zone 2,Bruin Plate
Zone 1,Rieber Court
Zone 1,Rieber Hall
Zone 1,Rieber Terrace
Zone 1,Rieber Vista
Zone 1,Reiber Vista
Zone 1,Saxon
Zone 1,Hedrick Hall
Zone 1,Hedrick Court
Zone 1,Hedrick Summit
Zone 1,Centennial Hall
Zone 1,Olympic Hall
Zone 1,Hitch
Zone 1,Olympic Centennial
UAN,Weyburn Terrace
UAN,Glenrock
UAN,Gayley Heights
UAN,Gayley Towers
UAN,Gayley Court
UAN,Landfair
UAN,Levering
UAN,Levering Terrace
UAN,Westwood Chateau
UAN,Westwood Palms
UAN,Laurel
UAN,Palo Verde
UAN,Tipuana
Other,Other

